BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2013;110005394;750047367;0;;;;;190000;0;0;0;0;;;;;1;0;0;0;45;240;0;122;9;7469;0;3282;137;157;0;90;8;48;27;0;14;0;7;0
HAD;2013;120783618;120784616;0;;;;;;0;0;0;0;1;1;0;0;1;1;0;0;64;706;88;183;26;23917;1315;4656;513;524;79;150;20;203;71;3;44;0;18;0
HAD;2013;130000409;130041916;0;;;;;154467;1;;0;0;1;1;;;1;0;0;1;8;87;0;32;5;2913;0;1014;55;58;0;27;19;2;0;2;0;0;0;0
HAD;2013;130000565;130781446;0;;;;;90439;0;0;0;0;1;1;;;1;0;0;0;20;167;50;18;24;4071;814;375;514;121;42;14;11;33;9;4;28;0;7;0
HAD;2013;130001647;130784127;0;;;;;;0;0;0;0;0;1;;;1;0;0;1;20;1605;0;0;1548;7919;0;0;7116;319;0;0;290;31;0;29;0;0;0;0
HAD;2013;130002215;130785512;0;;;;;154127;0;0;;;1;0;0;0;1;1;1;1;20;106;0;22;12;3547;0;454;123;67;0;19;6;30;10;0;9;0;1;0
HAD;2013;130021488;130021439;0;;;;;;1;1;0;0;1;0;1;0;1;0;0;0;40;223;0;48;4;9381;0;1730;43;176;0;39;3;109;24;2;67;0;12;0
HAD;2013;130021819;130021769;0;;;;;560000;1;0;0;0;1;1;;;1;0;0;0;60;415;0;108;24;15541;0;3345;610;298;0;83;13;116;37;2;49;0;18;1
HAD;2013;130022619;130810161;0;;;;;105200;1;0;0;0;1;1;;;1;1;1;0;40;156;0;54;6;5903;0;1574;102;101;0;41;4;56;30;1;6;0;3;0
HAD;2013;130024458;130804396;0;;;;;;0;0;0;0;1;1;;0;1;0;0;0;40;406;0;177;6;16360;0;5767;117;250;0;136;2;130;72;0;72;0;43;0
HAD;2013;130782071;130002454;0;;;;;141287;1;0;0;0;1;1;;;1;0;0;0;25;167;0;12;155;12030;0;615;2008;114;0;24;21;56;11;0;22;0;5;0
HAD;2013;130783236;130786049;0;;;;;;0;0;0;0;1;1;0;0;1;1;0;0;50;862;373;28;22;20367;6133;680;1274;663;323;26;14;81;14;7;4;0;3;0
HAD;2013;130785652;130014228;0;;;;;156038;1;1;0;0;1;0;0;0;1;1;0;1;30;469;17;46;200;11113;396;965;652;226;15;38;33;100;17;10;54;0;12;0
HAD;2013;130802143;130804396;0;;;;;;0;0;0;0;1;1;0;0;1;0;0;0;60;514;0;226;5;18865;0;7065;53;320;0;129;2;150;65;0;22;0;6;0
HAD;2013;130809015;130001928;0;;;;;850000;1;0;0;0;1;0;0;0;1;0;0;0;25;152;0;46;1;7532;0;1608;74;122;0;40;1;98;36;1;95;0;35;1
HAD;2013;140000027;140000035;1;1;610780157;;;;1;1;0;0;1;1;;;1;1;1;1;30;399;0;69;14;12464;0;1357;403;260;0;60;9;118;32;0;22;0;6;1
HAD;2013;140000076;140000084;0;;;;;45000;0;0;0;0;1;1;;;1;0;0;0;12;109;0;61;5;3829;0;1765;207;77;0;48;3;30;19;0;13;0;6;0
HAD;2013;140000209;140000100;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;5;523;428;0;0;2897;1546;0;0;506;422;0;0;0;0;0;0;0;0;0
HAD;2013;140000233;140000118;0;;;;;67000;1;1;0;0;1;1;0;0;1;0;0;0;12;155;0;92;1;3559;0;1934;7;102;0;56;1;41;21;0;12;0;10;0
HAD;2013;140000258;140000415;0;;;;;;0;0;0;0;1;1;;;1;1;0;0;15;142;;;;5394;;;;109;;;;57;;;;;;
HAD;2013;140000373;140000159;1;3;140000373;500021282;500021274;;1;1;0;0;1;1;;;1;0;0;0;16;157;0;53;9;5219;0;1417;225;98;0;43;5;46;26;2;6;0;2;0
HAD;2013;140002619;750721334;0;;;;;300000;1;1;0;0;1;0;1;1;1;0;0;0;60;440;0;116;2;17278;0;2979;19;319;0;100;2;127;43;1;36;0;10;0
HAD;2013;140016155;140027426;0;;;;;86810;1;1;0;1;1;1;;;1;0;0;0;40;325;0;142;10;13345;0;3672;398;209;0;104;8;88;41;0;9;0;3;0
HAD;2013;150000040;150780096;0;;;;;;1;1;0;;1;;1;;1;0;0;1;10;146;0;12;12;2749;0;64;51;92;0;12;3;23;4;0;8;0;1;0
HAD;2013;160002036;160009908;0;;;;;356918;1;0;0;0;1;0;1;0;1;1;0;0;90;923;100;254;121;26935;1444;6330;3698;632;97;189;78;168;58;18;7;0;1;0
HAD;2013;170000087;170023279;0;;;;;220000;1;0;0;0;0;0;1;0;1;1;1;1;65;613;2;235;6;17195;14;6925;457;366;2;161;6;83;32;1;19;0;2;1
HAD;2013;170000103;170780175;1;3;170000103;170000095;170000038;208000;1;0;0;0;1;0;0;0;1;0;0;0;31;326;0;186;6;9930;0;6208;35;229;0;141;1;68;42;0;21;0;13;0
HAD;2013;170021661;170020432;0;;;;;186552;1;0;0;0;0;0;0;0;1;0;0;0;40;305;0;90;27;7693;0;1742;515;221;0;73;19;60;19;3;14;0;5;0
HAD;2013;180000010;180000028;1;1;180000010;;;170000;1;1;0;0;1;1;;;1;0;0;0;22;231;0;94;2;6848;0;1922;7;138;0;66;2;41;23;0;14;0;7;0
HAD;2013;180008278;750047367;0;;;;;180000;0;0;0;0;;;;;1;0;0;0;43;181;0;98;1;6986;0;3731;6;124;0;65;1;30;16;0;7;0;1;0
HAD;2013;190000026;190000059;0;;;;;251175;1;0;1;0;0;0;0;0;1;0;0;0;35;372;0;211;13;9884;0;4848;163;255;0;158;9;101;69;1;43;0;30;0
HAD;2013;190010629;190010579;0;;;;;;1;0;0;0;1;1;;;1;0;0;0;60;1535;0;171;1220;14722;0;6798;2510;357;0;132;144;80;43;22;3;0;1;1
HAD;2013;210003059;210987400;0;;;;;325000;1;1;0;0;1;1;;;1;1;0;0;43;394;0;121;12;13270;0;3439;354;235;0;81;4;87;45;0;14;0;12;0
HAD;2013;210780789;210003208;0;;;;;250000;1;0;0;0;1;1;;;1;0;0;0;30;186;0;83;5;6227;0;2529;47;144;0;66;5;61;32;2;10;0;8;0
HAD;2013;210987657;210780714;0;;;;;95000;1;1;0;0;1;1;0;0;1;0;0;0;20;97;0;32;1;2626;0;723;5;65;0;18;1;17;8;0;0;0;0;0
HAD;2013;210987731;210780417;0;;;;;;1;1;0;0;1;1;0;0;0;0;0;1;12;529;0;65;413;5722;0;1329;3043;98;0;40;58;12;5;8;0;0;0;0
HAD;2013;220000368;220000103;1;1;220000368;;;;1;1;0;0;1;1;;;1;1;0;0;27;334;85;94;17;8756;775;2631;657;268;83;73;12;53;15;1;3;0;0;0
HAD;2013;220000541;220000152;0;;;;;;;;;;;;;;1;0;0;0;5;109;;;;2637;;;;80;;;;62;;;12;;;
HAD;2013;220019616;220019608;0;;;;;;0;0;0;0;1;1;;;0;0;0;0;30;333;0;94;17;7966;0;1494;377;240;0;83;14;76;32;2;18;0;7;0
HAD;2013;220020341;350000626;1;4;350044772;290033679;560022188;;0;;0;0;1;1;;;1;0;0;0;20;119;0;30;5;3144;0;704;95;83;0;26;5;30;13;1;7;0;2;0
HAD;2013;230782617;750000218;0;;;;;127500;0;0;0;0;1;0;1;0;1;1;1;1;25;277;0;74;73;8236;0;2422;782;145;0;60;22;41;20;5;5;0;2;1
HAD;2013;240000489;240000117;0;;;;;119806;1;1;0;0;0;0;1;0;1;1;1;0;23;180;0;67;30;7275;0;2166;422;100;0;46;6;35;13;1;12;0;3;0
HAD;2013;240000687;240000448;0;;;;;;0;0;0;0;1;1;;;1;0;1;1;30;101;0;36;1;3575;0;710;34;72;0;28;1;26;10;0;9;0;4;0
HAD;2013;240011668;240000612;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;30;236;0;84;9;5884;0;1770;211;175;0;73;8;75;30;1;8;0;2;0
HAD;2013;250000114;900000365;1;1;250000114;;;;0;0;0;0;0;1;1;;0;1;0;0;5;173;170;0;0;938;921;0;0;163;160;0;0;0;0;0;0;0;0;0
HAD;2013;250012069;250017803;0;;;;;118592;1;0;0;0;1;0;1;0;0;0;0;0;30;144;0;62;3;4806;0;1406;17;104;0;52;1;31;22;0;14;0;11;0
HAD;2013;250012838;250017803;0;;;;;222939;0;0;0;0;1;0;1;0;0;0;0;0;15;492;488;0;0;3475;3447;0;0;477;473;0;0;0;0;0;0;0;0;0
HAD;2013;250016037;250017803;0;;;;;324726;1;1;0;0;1;0;1;0;0;0;0;0;25;288;0;186;0;12066;0;7433;0;194;0;123;0;36;25;0;0;0;0;0
HAD;2013;250016045;250017803;0;0;;;;222939;1;0;0;0;1;0;1;0;0;0;0;0;25;348;105;114;0;12747;708;5034;0;238;84;81;0;40;26;0;8;0;6;0
HAD;2013;260000138;260000047;0;;;;;182337;1;0;0;0;1;0;1;0;1;0;0;0;22;274;1;101;23;9226;32;2795;233;186;1;77;14;45;29;3;5;0;4;0
HAD;2013;260000146;260000054;1;4;260000146;;;450000;1;0;0;0;1;1;;;1;0;0;0;120;1313;413;453;73;42766;4040;19011;1075;937;375;344;43;195;149;3;39;0;32;0
HAD;2013;260013388;260007018;0;;;;;800000;1;1;0;0;1;1;1;;1;0;0;0;52;299;3;70;36;10237;61;1465;1446;196;3;62;16;46;24;3;11;0;6;0
HAD;2013;270000441;270000110;0;0;;;;;0;0;0;0;1;1;0;0;1;1;1;1;16;86;0;19;4;2513;0;331;120;66;0;18;4;21;7;1;16;0;5;0
HAD;2013;270016058;270016009;0;;;;;220000;0;0;0;0;;;;;1;0;0;0;52;305;0;78;88;9938;0;2166;1536;151;0;57;28;36;17;5;0;0;0;0
HAD;2013;270019649;270019508;1;2;270019649;270019649;;140000;1;0;0;0;1;1;0;0;1;1;0;0;30;272;0;37;18;8530;0;417;268;158;0;26;6;44;3;1;0;0;0;0
HAD;2013;280001678;450011150;0;;;;;303470;1;1;0;0;1;1;0;0;1;1;0;1;30;863;532;65;108;10793;3846;1412;769;666;510;50;16;25;15;1;2;0;0;0
HAD;2013;280003898;450011150;0;;;;;69092;1;1;0;0;1;1;0;0;1;1;0;1;20;130;48;20;17;2241;308;565;152;101;48;14;4;13;6;1;0;0;0;0
HAD;2013;280003948;450011150;0;;;;;57854;1;1;0;0;1;1;0;0;1;1;0;1;20;107;38;20;10;1601;243;583;111;76;38;13;1;12;3;1;0;0;0;0
HAD;2013;290000025;290020700;1;1;290000025;;;321294;1;1;0;0;0;0;1;0;1;1;0;1;35;494;118;116;92;9139;691;2919;165;351;118;95;12;65;24;1;2;0;1;0
HAD;2013;290000140;290000447;1;1;290000140;;;;0;0;0;0;1;1;;;1;1;0;1;60;748;0;140;24;16234;0;2977;511;505;0;120;19;162;62;7;64;0;29;0
HAD;2013;290032838;290032820;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;30;207;0;41;16;4103;0;670;245;127;0;34;13;27;10;1;11;0;4;0
HAD;2013;290033679;350000626;1;4;350044772;220020341;560022188;;0;;0;0;1;1;;;1;0;0;0;20;110;0;31;0;2161;0;509;0;76;0;29;0;26;10;0;8;0;3;0
HAD;2013;2A0001988;2A0001848;0;;;;;79000;1;0;0;0;1;1;;;1;0;0;0;25;169;0;92;1;7181;0;3501;624;103;0;43;5;43;25;0;1;0;0;0
HAD;2013;2A0002614;2A0002606;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;10;89;0;45;0;3156;0;1270;0;56;0;29;0;21;13;0;7;0;5;0
HAD;2013;2B0000038;2B0004246;0;;;;;;0;0;0;0;1;1;;;1;1;1;1;20;29;0;6;4;1539;0;326;156;17;0;5;2;10;5;0;0;0;0;0
HAD;2013;2B0001739;2B0001689;1;1;2B0001739;;;121310;0;0;;;1;1;;;1;1;1;1;;322;1;51;36;12969;151;1301;1520;195;1;38;18;81;11;5;8;0;2;0
HAD;2013;2B0003289;2B0003198;0;;;;;;1;1;0;0;1;1;;;1;0;0;1;35;356;0;213;44;12369;0;9171;1380;187;0;113;22;64;41;1;10;0;6;0
HAD;2013;300000031;300780053;1;3;300000031;300000056;300000064;;1;0;0;0;1;1;;;1;0;0;0;13;113;;43;2;4051;;984;79;53;;25;2;31;5;1;2;;1;0
HAD;2013;300000056;300780079;0;3;300780079;300780053;300780087;19873;0;0;0;0;1;1;;;1;0;0;0;5;30;;;;1519;;;;20;;;;11;;;4;;;
HAD;2013;300000064;300780087;0;;;;;93000;1;1;0;0;1;1;;;1;0;1;1;8;;;;;;;;;;;;;;;;;;;
HAD;2013;300012309;340784933;0;;;;;200000;1;1;0;0;1;1;;;0;0;0;1;50;362;0;164;8;16186;0;6853;236;258;0;126;4;98;45;2;17;0;13;0
HAD;2013;300013745;340784933;0;;;;;100000;1;1;0;0;1;1;;;1;0;0;1;30;147;0;51;15;6001;0;1251;819;107;0;43;9;29;13;1;5;0;3;0
HAD;2013;300013778;300013760;0;;;;;380000;0;0;0;0;1;1;;;1;0;0;0;30;163;0;82;0;6309;0;3443;0;125;0;65;0;70;32;0;14;0;4;0
HAD;2013;300013786;300780038;1;2;300013786;300782117;;400000;1;1;0;0;;;;;1;1;0;1;50;543;87;112;19;13688;1608;2248;435;417;70;105;14;106;41;3;29;0;8;0
HAD;2013;310000310;310780671;0;;;;;80000;1;1;0;0;1;1;;;1;0;0;0;20;204;0;73;38;5579;0;1802;1128;157;0;66;27;61;24;4;10;0;2;0
HAD;2013;310005459;310021886;1;2;310005459;310005459;;900000;0;0;0;0;1;1;;;0;0;0;0;100;1232;199;179;413;27072;4849;5584;2092;579;184;132;69;94;30;17;15;0;3;0
HAD;2013;310016977;310781406;0;;;;;800000;1;1;0;0;1;1;;;1;0;0;0;10;260;250;4;0;2894;1982;108;0;236;227;4;0;0;0;0;0;0;0;0
HAD;2013;310780259;310000096;1;2;310780259;310780259;;828024;1;1;0;0;1;1;0;0;1;0;0;1;60;745;0;289;121;18755;0;7416;1017;504;0;237;46;107;59;3;0;0;0;0
HAD;2013;320004328;750721334;0;;;;;;0;0;0;0;0;0;0;0;1;0;0;0;30;108;0;16;0;3069;0;373;0;70;0;13;0;17;4;0;1;0;0;0
HAD;2013;330000332;330780545;0;;;;;329000;1;0;0;0;1;1;;;1;0;0;1;60;480;1;143;14;19912;21;3993;85;311;1;104;4;120;39;1;15;0;2;0
HAD;2013;330000340;330780552;0;;;;;;1;0;0;0;1;0;0;0;1;0;0;0;200;2785;294;478;768;69098;5899;15694;2439;1235;251;294;124;232;90;9;49;0;19;0
HAD;2013;330000589;330027509;0;;;;;;1;0;0;0;1;1;;;1;1;0;0;40;463;199;111;24;11660;2715;2828;306;329;160;67;14;52;17;1;10;0;3;0
HAD;2013;330025958;330025859;0;;;;;316807;1;0;0;0;1;0;0;0;1;0;0;0;90;439;1;175;4;14572;18;6262;211;279;1;112;4;89;34;1;24;0;11;1
HAD;2013;340016476;340016468;0;;;;;;0;0;0;1;1;1;;;1;0;0;0;15;236;0;126;7;10346;0;4838;285;159;0;93;5;34;22;2;4;0;1;0
HAD;2013;340017839;340784933;0;;;;;300000;1;1;0;0;1;1;;;1;0;0;1;30;219;0;82;7;9842;0;3614;112;172;0;73;5;76;43;0;44;0;21;0
HAD;2013;340017847;340018175;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;30;177;0;66;4;4987;0;1685;136;137;0;53;4;58;24;2;17;0;8;0
HAD;2013;340019173;340019165;0;;;;;;0;0;0;0;1;0;1;0;0;0;0;0;30;70;0;18;1;2451;0;362;66;51;0;15;1;18;5;0;8;0;3;0
HAD;2013;340021211;340780055;0;;;;;286000;0;0;0;0;1;1;;;1;0;0;1;15;203;0;41;78;3597;0;934;618;113;0;30;13;49;19;5;8;0;4;0
HAD;2013;340780154;340000116;0;;;;;;1;0;0;0;1;1;;;1;0;0;0;10;179;0;46;6;11794;0;3031;392;105;0;36;6;57;14;0;30;0;10;0
HAD;2013;340782036;340780477;0;;340782036;340796663;;260000;1;1;;0;1;1;;;1;1;0;0;60;587;72;115;63;14495;1610;2917;786;379;60;102;21;107;38;6;1;0;1;0
HAD;2013;350042628;350042578;1;5;350042628;;;900000;0;0;0;0;1;1;;;1;1;1;0;150;1383;157;498;52;44665;3719;14818;960;929;130;391;22;264;165;1;148;0;97;0
HAD;2013;350044772;350000626;1;4;350044772;560022188;290033679;;0;;0;0;1;1;;;1;0;0;0;40;370;0;120;56;9159;0;2392;1164;255;0;111;29;77;36;4;38;0;16;0
HAD;2013;360000137;360000053;1;3;360000137;360000160;360000103;232791;1;1;0;0;1;1;;;1;1;1;1;25;340;2;74;6;6814;10;1192;123;253;2;63;5;82;26;1;8;0;3;0
HAD;2013;370009938;370001299;0;;;;;;1;1;0;0;1;1;;;1;1;1;1;75;1361;558;258;47;24615;3541;7605;618;977;551;195;15;146;79;4;46;0;22;0
HAD;2013;370103673;370001638;1;4;370010258;370010308;370010399;605819;1;1;0;0;1;1;;;1;0;0;1;104;555;0;215;6;19993;0;5712;166;338;0;168;6;110;66;1;27;0;16;0
HAD;2013;380000067;380780080;0;;;;;552958;1;1;0;0;1;1;;;1;1;0;0;82;1301;416;92;208;21151;5747;1939;868;680;265;76;48;95;23;3;15;0;3;0
HAD;2013;380000174;380781435;0;;;;;190640;1;1;0;0;1;1;;;1;0;0;0;30;574;330;112;24;10310;1162;3607;903;512;330;99;16;72;42;3;9;0;8;0
HAD;2013;380007468;380017723;0;;;;;173000;1;0;0;0;1;1;;;1;0;0;0;30;210;0;46;42;4916;0;1198;409;146;0;36;21;36;8;4;12;0;2;1
HAD;2013;390004349;390004299;0;;;;;258882;1;0;0;0;1;1;;;1;0;0;0;40;381;0;145;20;13897;0;4223;543;239;0;110;10;75;45;2;41;0;23;0
HAD;2013;400008199;400008108;0;;;;;150000;0;0;0;0;1;0;1;0;1;0;0;0;45;370;0;148;23;13344;0;5549;173;217;0;104;6;60;31;1;18;0;3;0
HAD;2013;400780888;400000535;0;;;;;219000;0;0;0;0;1;1;;;0;0;0;0;135;720;0;287;34;43398;0;10178;1045;487;0;242;27;221;117;7;33;0;22;0
HAD;2013;410005003;370001299;0;;;;;;;;;;;;;;1;0;0;0;74;883;0;300;20;27091;0;8407;175;468;0;227;7;151;90;1;63;0;35;0
HAD;2013;420000010;420780033;1;2;420000010;420000010;;162000;1;0;0;0;1;1;1;0;1;1;1;1;30;216;0;115;6;9131;0;4659;30;132;0;76;4;42;23;0;6;0;2;0
HAD;2013;420002479;420002438;0;;;;;548000;0;0;0;0;1;1;;;0;0;0;0;30;949;127;284;129;37022;1942;10298;5199;610;105;232;80;137;89;8;54;0;28;0
HAD;2013;420010258;420010209;1;1;420010258;;;438849;1;1;0;0;1;1;;;1;0;0;0;;385;0;238;13;22302;0;15488;544;299;0;189;8;122;96;1;10;0;7;0
HAD;2013;420010308;420010209;1;1;420010308;;;54927;1;1;0;0;1;1;;;1;0;0;0;25;76;0;39;5;5472;0;3443;131;51;0;28;2;17;14;0;4;0;2;0
HAD;2013;420013005;690007182;0;;;;;649000;0;0;0;0;1;1;0;0;1;1;1;0;;121;2;9;1;3141;28;300;3;60;2;6;1;0;0;0;0;0;0;0
HAD;2013;430000117;430000018;1;2;430000117;430000117;;220000;0;0;0;0;1;1;;;1;0;0;1;20;192;0;38;8;4432;0;803;136;145;0;32;6;31;10;0;14;0;1;0
HAD;2013;440000271;440000289;0;;;;;;;;;;;;;;1;0;0;0;12;278;23;7;62;6052;403;68;1725;136;20;4;30;0;0;0;0;0;0;0
HAD;2013;440012128;440003960;1;3;440012128;;;972280;0;0;0;0;1;0;0;1;1;0;0;0;164;1346;0;420;29;50334;0;11788;639;933;0;363;22;257;117;1;74;0;32;0
HAD;2013;440017440;440000057;1;3;;;;238000;1;1;0;0;1;1;;;1;0;0;0;35;414;0;163;9;10186;0;2642;259;333;0;155;8;119;73;1;40;0;32;0
HAD;2013;450005798;370001299;0;;;;;;1;0;0;0;1;1;;;1;1;0;0;57;1298;780;155;4;16059;999;3448;55;457;130;126;3;124;62;0;36;0;12;0
HAD;2013;450013719;450011150;0;;;;;86643;1;1;0;0;1;1;0;0;1;1;0;1;30;73;16;11;16;1462;105;72;70;51;14;9;3;7;3;0;1;0;0;0
HAD;2013;450014048;450011150;0;;;;;84820;1;1;0;0;1;1;0;0;1;1;0;1;30;118;55;8;5;2773;609;192;36;92;49;8;1;9;3;0;2;0;1;0
HAD;2013;450018528;450011150;0;;;;;337669;1;1;0;0;1;1;0;0;1;1;0;1;30;862;769;14;5;8587;6280;195;62;808;734;12;1;16;5;0;6;0;2;0
HAD;2013;450018536;370001299;0;;;;;650000;1;1;0;;1;1;;;1;1;0;0;105;2043;739;;;35305;3964;;;1247;730;;;227;;;115;0;;
HAD;2013;460000102;460780208;0;;;;;;1;1;0;0;1;0;1;0;1;0;1;0;20;103;0;49;0;2764;0;803;0;92;0;46;0;61;37;0;35;0;31;0
HAD;2013;460000110;460780216;0;;;;;62263;1;1;0;0;1;0;1;0;1;0;0;1;20;315;42;60;25;4548;640;874;167;223;42;49;8;85;19;0;32;0;5;0
HAD;2013;460006075;460006067;1;1;460006075;;;44000;1;1;0;0;1;1;;;1;0;0;1;15;92;0;31;9;3107;0;808;289;72;0;28;6;34;12;0;15;0;7;0
HAD;2013;460006091;460785090;1;1;460006091;;;45404;1;1;0;0;1;0;1;0;1;0;0;0;20;148;0;74;11;5458;0;2680;219;105;0;51;6;38;20;0;2;0;1;0
HAD;2013;470009358;470009309;0;;;;;330866;0;0;0;0;1;1;0;0;1;0;0;0;100;528;1;197;23;23197;21;6781;601;356;1;149;12;129;67;1;38;0;11;0
HAD;2013;480001825;750047367;0;;;;;77000;0;0;0;;;;;;1;0;0;0;20;58;0;32;0;2280;0;1243;0;45;0;22;0;19;9;0;11;0;2;0
HAD;2013;490000312;490012176;0;;;;;454646;1;1;0;0;1;0;0;0;1;0;1;1;90;751;0;294;96;23949;0;9364;398;431;0;208;17;115;59;4;19;0;10;0
HAD;2013;490016334;490016326;1;2;490016334;490016334;;250000;1;0;0;0;1;1;;;1;1;1;1;35;464;0;189;50;11980;0;3998;1056;361;0;151;33;118;58;2;44;0;24;0
HAD;2013;490016870;440048643;0;;;;;110000;0;0;0;0;1;0;1;0;1;0;1;0;38;407;0;203;7;15719;0;6763;207;279;0;152;5;134;70;1;20;0;9;1
HAD;2013;500000187;500000013;0;;;;;190375;1;1;0;0;1;1;1;;1;1;1;1;32;426;0;170;14;8808;0;3901;243;247;0;112;9;71;32;0;22;0;4;0
HAD;2013;500000260;500000054;1;2;500000021;;;;;;0;0;1;0;0;0;1;0;0;0;20;262;0;42;3;4819;0;953;137;122;0;35;3;27;9;1;5;0;0;0
HAD;2013;500000450;500000112;1;3;500000112;500000112;500000112;;1;1;0;0;1;1;;;1;0;0;0;45;477;0;169;14;13840;0;4166;319;307;0;138;9;126;65;2;31;0;11;0
HAD;2013;500021274;140000159;1;3;140000373;500021282;500021274;;;;0;0;1;1;;;1;0;0;0;5;72;0;30;1;1907;0;625;98;41;0;19;1;15;8;0;2;0;1;0
HAD;2013;500021282;140000159;1;3;140000373;500021282;500021274;;;;0;0;1;1;;;1;0;0;0;8;96;0;40;0;2324;0;1007;0;56;0;24;0;19;8;0;2;0;0;0
HAD;2013;510002298;750721334;0;;;;;271034;1;1;0;0;1;1;;;1;0;0;0;25;329;0;73;2;11612;0;1459;10;217;0;62;2;87;27;0;18;0;7;0
HAD;2013;510017098;510000060;0;;;;;108000;1;0;0;0;1;1;;;1;0;0;0;30;209;0;38;3;6998;0;1431;376;130;0;30;2;32;7;0;14;0;3;0
HAD;2013;510019979;510019938;0;0;;;;119589;1;1;0;0;1;1;;;1;0;0;0;30;218;0;61;3;6086;0;1322;64;139;0;49;2;39;14;0;18;0;9;0
HAD;2013;510020548;750047367;0;;;;;110000;0;0;0;0;;;;;1;0;0;0;27;184;0;91;4;6799;0;3352;68;110;0;58;4;39;23;1;7;0;3;0
HAD;2013;520003823;750047367;0;;;;;120000;0;0;0;0;;;;;1;0;0;0;30;153;0;50;18;7378;0;2751;221;85;0;31;2;22;10;0;2;0;0;0
HAD;2013;530000264;530000371;1;2;530000173;530000017;;150000;1;0;0;0;1;0;0;0;1;0;1;1;19;414;0;120;66;12593;0;3323;1538;258;0;96;34;67;23;4;21;0;7;0
HAD;2013;540000668;540006707;0;;;;;300000;0;0;0;0;0;1;;;1;0;0;0;30;415;0;1;0;9025;0;34;0;365;0;1;0;234;0;0;3;0;0;0
HAD;2013;540001096;570010181;0;;;;;;1;1;0;0;1;1;;;1;0;0;0;10;99;0;48;2;2727;0;1295;62;74;0;34;1;24;14;0;5;0;1;0
HAD;2013;540001104;540000882;0;;;;;;1;0;0;0;1;0;1;0;1;1;1;1;30;333;202;23;1;5160;1938;497;12;280;180;21;1;28;11;0;13;0;6;0
HAD;2013;540010568;540010519;0;;;;;400000;0;0;0;0;1;1;;;1;1;0;1;50;870;260;288;81;20700;4680;5739;420;596;221;199;12;87;54;3;25;0;5;0
HAD;2013;550000012;550000020;0;;;;;75000;1;1;0;0;1;1;;;1;1;1;1;15;288;107;41;0;4420;1512;727;0;232;97;28;0;34;5;0;9;0;1;0
HAD;2013;550000434;550003354;1;1;550000434;;;;1;1;0;1;1;1;1;0;1;0;0;0;20;222;0;84;10;5515;0;1422;121;160;0;69;10;59;29;0;27;0;13;0
HAD;2013;560000192;560000044;0;;;;;77355;0;0;0;0;1;1;1;0;1;0;1;1;20;123;0;51;16;3527;0;1369;338;79;0;36;11;24;9;2;2;0;1;0
HAD;2013;560008799;560013989;0;;;;;;1;1;0;0;1;1;;;1;1;1;1;75;682;104;402;4;25819;2283;16618;193;491;91;281;4;115;87;1;19;0;13;0
HAD;2013;560018509;560018459;1;1;560018509;;;285000;1;1;0;0;1;1;;;0;0;0;0;120;1335;253;432;;42334;1724;14381;;1037;251;343;;262;128;;42;0;24;
HAD;2013;560022188;350000626;1;4;350044772;290033679;220020341;;0;0;0;0;1;1;;;1;0;0;0;30;234;3;74;11;6801;64;1463;280;163;3;57;7;43;18;0;9;0;2;0
HAD;2013;570000091;750050759;0;;;;;250000;1;0;0;0;1;0;1;0;1;0;0;0;15;160;0;69;1;3987;0;1855;4;126;0;56;1;25;18;0;5;0;5;0
HAD;2013;570000117;570015099;0;;;;;;0;0;0;0;1;1;0;0;1;0;0;0;10;122;0;20;2;1818;0;266;17;44;0;13;1;10;3;0;2;0;1;0
HAD;2013;570000281;570005165;0;;;;;217925;1;0;0;0;1;1;;;1;1;1;1;32;377;184;87;3;7983;2955;1883;48;287;151;58;1;28;16;1;1;0;0;0
HAD;2013;570000901;570000158;0;;;;;100404;1;0;0;0;1;1;;;1;0;0;0;7;9;0;1;0;125;0;2;0;8;0;1;0;0;0;0;0;0;0;0
HAD;2013;570000968;570000430;0;;;;;;0;0;0;0;1;1;;;1;0;0;0;10;132;0;50;3;3617;0;1116;45;100;0;39;1;42;16;0;27;0;11;0
HAD;2013;570001099;570023630;0;;;;;300000;0;0;0;0;1;1;;;1;0;1;1;35;426;0;123;1;9889;0;2378;12;342;0;110;1;107;56;1;54;0;28;0
HAD;2013;570012369;570011387;0;;;;;;0;0;0;0;1;1;;;0;0;0;0;5;62;0;29;3;1416;0;484;15;39;0;22;1;17;11;0;11;0;7;0
HAD;2013;580001899;750721334;0;;;;;70000;0;0;0;0;0;0;1;0;1;0;0;0;20;148;0;37;2;3853;0;950;4;65;0;27;1;18;10;0;1;0;1;0
